Timestamp,How old are you?,What industry is your employer in?,What is the functional area of your job (this might be different from your company's industry)?,Job title,"If your job title needs additional context, please clarify here:","What is your annual salary? This should be your GROSS (pre-tax) income. (You'll indicate the currency in a later question.) If you are part-time or hourly, please enter an annualized equivalent -- what you would earn if you worked the job 40 hours a week, 52 weeks a year.","How much additional monetary compensation do you get, if any (for example, bonuses or overtime in an average year)? Only include monetary compensation here, not the value of benefits, tuition reimbursement, etc. If your bonus or overtime varies from year to year, use the most recent figures.",Please indicate the currency,"If ""Other,"" please indicate the currency here: ","If your income needs additional context, please provide it here:",What country do you work in? (Countries listed had by far the largest representation last year. Please write in your country if it's not listed.),"If you're in the U.S., what state do you work in?",What city/region do you work in?,Are you remote or on-site?,Is your job unionized?,How many years of professional work experience do you have overall?,How many years of professional work experience do you have in your field?,What is your highest level of education completed?,What is your gender?,What is your race? (Choose all that apply.),,,,,,
4-9-2024 12:26:47,25-34,Media & Digital,Media & Digital,Low-Code Web Designer & Digital Consultant,"Most of my day-to-day is building and maintaining websites on low code platforms like Squarespace and Shopify, including a lot of copywriting for those sites. I also help web clients with all sorts of other 'web' based questions, like social media, email, and various specialized platforms for their industry like donor databases and online payment processors.",49000,1500,USD,,,United States,Illinois,"A larger downstate IL city, outside the Chicago/Suburbs region",On-site,No,8-10 years,8-10 years,College degree,Woman,White,,,,,,
4-9-2024 12:26:47,45-54,Government & Public Administration,Government & Public Administration,Eligibility Worker III Lead,Determine eligibility to public welfare benefit programs ,82555,,USD,,,United States,California,"San Rafael, Marin County",Hybrid,Yes,31-40 years,21-30 years,Associate's degree,Woman,White,,,,,,
4-9-2024 12:26:48,45-54,Health care,"Accounting, Banking & Finance",Director of Revenue Cycle,,135258,0,USD,,,United States,Minnesota,Twin Cities,On-site,No,21-30 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:26:53,65 or over,Computing or Tech,Computing or Tech,Software developer,,105000,0,USD,,,United States,Virginia,Fairfax ,Fully remote,No,31-40 years,21-30 years,College degree,Woman,White,,,,,,
4-9-2024 12:26:56,35-44,Education (Higher Education),Administration,Senior Staff Assistant,,63000,0,USD,,,United States,New York,Buffalo,On-site,Yes,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:26:56,35-44,Computing or Tech,Computing or Tech,Programming Specialist,"Create & format call scripts for an answering service - lots of if/then, but no coding involved",39000,3400,USD,,,United States,Alabama,Central AL,Fully remote,No,2-4 years,2-4 years,Some college,Woman,White,,,,,,
4-9-2024 12:26:57,55-64,Media & Digital,Media & Digital,Freelance copy editor - fiction,,45000,0,USD,,"My spouse gets excellent union health benefits, which is the only reason I can work without any benefits. ",United States,California,Los Angeles,Fully remote,No,31-40 years,11-20 years,College degree,Woman,White,,,,,,
4-9-2024 12:26:58,35-44,Education (Higher Education),Education (Higher Education),Professor of Engineering ,,100000,,USD,,,United States,Washington,Spokane ,On-site,No,11-20 years,8-10 years,Doctorate,Man,White,,,,,,
4-9-2024 12:26:59,35-44,Education (Higher Education),Fundraising,"Director, Donor Relations",,118764,,USD,,,United States,California,Los Angeles,Fully remote,No,21-30 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:27:02,45-54,Insurance,Communications,Creative and Team Lead,,93500,9000,USD,,,United States,Connecticut,Hartford,Hybrid,No,21-30 years,21-30 years,College degree,Woman,White,,,,,,
4-9-2024 12:27:06,45-54,Nonprofits,Organizational development ,Organizational Effectiveness Director,"Finance, operations, strategic planning ",73000,4000,USD,,,United States,Minnesota,Minneapolis ,Hybrid,No,21-30 years,8-10 years,College degree,Woman,White,,,,,,
4-9-2024 12:27:10,35-44,Retail,"Marketing, Advertising & PR",Social Media and Sales Support Coordinator,,50000,1000,USD,,,United States,Illinois,Chicago Metro Area,Hybrid,No,11-20 years,5-7 years,College degree,Woman,White,,,,,,
4-9-2024 12:27:10,55-64,Government & Public Administration,Government & Public Administration,"Director, Planning & Program Development",I am in charge of planning for all bus routes and any other type of transit delivery as well as capital projects and future planning for the transit agency.,102000,0,USD,,,United States,Louisiana,Baton Rouge,On-site,No,31-40 years,31-40 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:27:11,25-34,Nonprofits,"Accounting, Banking & Finance",Junior Accountant,,50862,0,CAD,,,Canada,,Sudbury,Fully remote,No,8-10 years,2-4 years,College degree,Woman,Native American or Alaska Native,,,,,,
4-9-2024 12:27:11,25-34,"Accounting, Banking & Finance",Administration,Client Lead,Lease Administration III,62500,3000,USD,,,United States,New York,Remote Work/Upstate New York,Fully remote,No,11-20 years,2-4 years,College degree,Woman,White,,,,,,
4-9-2024 12:27:13,55-64,HVAC service provider ,Administration,Administrative Assistant ,,60000,,CAD,,,Canada,,Mississauga,Hybrid,,31-40 years,5-7 years,College degree,Woman,White,,,,,,
4-9-2024 12:27:17,35-44,Education (Higher Education),Entertainment,Scene Technician,Theater carpenter,49000,0,USD,,,United States,California,Sacramento ,On-site,Yes,11-20 years,11-20 years,College degree,Woman,White,,,,,,
4-9-2024 12:27:18,25-34,Health care,Nonprofits,Homeless Services Program Manager,Healthcare and Day Center services program manager,75000,0,USD,,,United States,Oregon,"Salem, OR",On-site,No,8-10 years,5-7 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:27:20,25-34,Manufacturing,Recruitment or HR,Talent Acquisition Specialist II,,80500,6940,USD,,,United States,New Jersey,Middlesex,Hybrid,No,11-20 years,8-10 years,Associate's degree,Woman,White,,,,,,
4-9-2024 12:27:21,35-44,Education (Higher Education),Education (Higher Education),Researcher,,55000,0,USD,,,United States,Florida,Tallahassee,Hybrid,Yes,8-10 years,5-7 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:27:22,25-34,"Multiple, primarily hospitality (hotels) and gaming (casinos)",Property or Construction,Admin Assistant,,52000,200,USD,,,United States,Florida,Wellington,On-site,No,2-4 years,1 year or less,College degree,Other or prefer not to answer,White,,,,,,
4-9-2024 12:27:23,18-24,Engineering,"Marketing, Advertising & PR",Proposal Coordinator,,52500,5000,USD,,,United States,Texas,Austin,Hybrid,No,2-4 years,2-4 years,College degree,Woman,White,,,,,,
4-9-2024 12:27:24,35-44,Law,Administration,Office Administrator,"I'm basically the office manager - the ""all hat wearing, someone has to handle this"" person. ",140000,20000,USD,,,United States,New York,New York/Manhattan,On-site,No,21-30 years,11-20 years,Some college,,White,,,,,,
4-9-2024 12:27:25,35-44,Education (Higher Education),Education (Higher Education),Assistant Professor,,85000,3000,USD,,,United States,California,San Diego,On-site,No,5-7 years,5-7 years,Doctorate,Woman,White,,,,,,
4-9-2024 12:27:30,25-34,"Accounting, Banking & Finance","Accounting, Banking & Finance",Head Teller,,39936,5000,USD,,,United States,New York,Adirondack ,On-site,No,1 year or less,1 year or less,College degree,Woman,White,,,,,,
4-9-2024 12:27:37,35-44,Manufacturing,Supply Chain Management,Commodity Manager,,82000,5300,USD,,,United States,South Dakota,Eastern,Hybrid,No,11-20 years,11-20 years,High School,Woman,White,,,,,,
4-9-2024 12:27:40,25-34,Government & Public Administration,Computing or Tech,System Analyst,,107000,0,USD,,,United States,New Mexico,Santa Fe,Fully remote,No,8-10 years,8-10 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:27:41,35-44,Government & Public Administration,Project management,Project Manager II ,,100510,,USD,,,United States,Oregon,Central Oregon,Hybrid,Yes,11-20 years,8-10 years,College degree,Woman,White,,,,,,
4-9-2024 12:27:44,25-34,Education (Higher Education),Administration,Associate Director,,77000,,USD,,,United States,Virginia,Blacksburg,Hybrid,No,8-10 years,8-10 years,Master's degree,Woman,"Asian or Asian American, White",,,,,,
4-9-2024 12:27:44,35-44,Health care,Government Affairs & Lobbying,"Senior Director, Government Affairs",,174500,27000,USD,,Bonus is a one time retention bonus,United States,District of Columbia,"Washington, DC",Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:27:49,25-34,Nonprofits,Nonprofits,Membership Manager,"Manager refers to program management, not managing staff",48300,2000,USD,,,United States,Wisconsin,Milwaukee,Hybrid,No,5-7 years,2-4 years,College degree,Woman,White,,,,,,
4-9-2024 12:27:55,65 or over,"Accounting, Banking & Finance","Accounting, Banking & Finance",TAX PROFESSIONAL,,135200,,USD,,,United States,Massachusetts,MERRIMACK VALLEY,Fully remote,No,41 years or more,41 years or more,College degree,Woman,White,,,,,,
4-9-2024 12:27:59,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Library Manager,,102000,0,USD,,,United States,Washington,Seattle area,On-site,No,21-30 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:28:01,35-44,Nonprofits,Nonprofits,Senior Grant Writer,,104000,0,USD,,,United States,Utah,Salt Lake City,Fully remote,No,8-10 years,8-10 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:28:02,45-54,Property or Construction,"Accounting, Banking & Finance",Controller ,,90000,30000,USD,,,United States,Mississippi,Memphis,On-site,No,21-30 years,21-30 years,Some college,Woman,White,,,,,,
4-9-2024 12:28:08,35-44,Government & Public Administration,Government & Public Administration,Operations,"Procurement, insurance, marketing, etc. for municipality",68000,0,USD,,,United States,Massachusetts,North of Boston,On-site,No,11-20 years,1 year or less,Master's degree,Woman,White,,,,,,
4-9-2024 12:28:09,35-44,Nonprofits,Health care,Strategy and Operations Manager,,90339,,USD,,,United States,North Carolina,Durham,Hybrid,No,21-30 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:28:12,25-34,Law,Government & Public Administration,Legal Counsel,,72982,,CAD,,,Canada,,New Brunswick,On-site,Yes,2-4 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White,,,,,,
4-9-2024 12:28:28,35-44,Aerospace & Defense,Engineering,Technical Manager,,161300,0,USD,,,United States,Massachusetts,The Berkshires,Hybrid,No,11-20 years,2-4 years,College degree,Woman,White,,,,,,
4-9-2024 12:28:31,25-34,Computing or Tech,Government & Public Administration,Testing engineer,,56000,,EUR,,,Belgium,,Brussels,Hybrid,Yes,8-10 years,1 year or less,Master's degree,Other or prefer not to answer,White,,,,,,
4-9-2024 12:28:32,25-34,Computing or Tech,Health care,UX Designer,,115000,6000,USD,,,United States,Wisconsin,Madison,On-site,No,5-7 years,2-4 years,College degree,Woman,White,,,,,,
4-9-2024 12:28:35,35-44,Education (Higher Education),Education (Higher Education),Assistant Professor,,85000,0,USD,,,United States,Maine,Lewiston,On-site,No,11-20 years,11-20 years,Doctorate,Woman,White,,,,,,
4-9-2024 12:28:36,55-64,Veterinary,Veterinary medicine,Veterinarian,,115000,0,USD,,,United States,Nebraska,Lincoln,On-site,No,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,Another option not listed here or prefer not to answer,,,,,,
4-9-2024 12:28:37,65 or over,Education (Primary/Secondary),Education (Primary/Secondary),HS math teacher,,110000,,USD,,,United States,Ohio,cleveland,On-site,Yes,21-30 years,21-30 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:28:39,25-34,Law,Law,Attorney,,140000,18000,USD,,,United States,California,Orange County,Hybrid,No,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White,,,,,,
4-9-2024 12:28:39,35-44,Biotechnology & Pharma,Biotechnology & Pharma,Director,,230000,100000,USD,,,United States,California,Los Angeles,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:28:40,35-44,Law,Law,Partner,,500000,75000,USD,,,United States,Illinois,Chicago ,Hybrid,No,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Man,White,,,,,,
4-9-2024 12:28:50,35-44,Retail,Product Management,Product Manager,,130000,24000,USD,,,United States,Washington,Seattle,Hybrid,No,21-30 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:28:52,18-24,Education (Higher Education),Computing or Tech,Help Desk Specialist,,43680,0,USD,,,United States,Wisconsin,Milwaukee,Hybrid,No,2-4 years,2-4 years,College degree,Woman,White,,,,,,
4-9-2024 12:28:55,35-44,Government & Public Administration,Communications,Senior Project Managment Analyst,Web based projects in the forestry and natural resource sector,86660,16000,CAD,,"Overtime is only granted in a bad wildfire season, when long hours are required",Canada,,Victoria BC,Other/it's complicated,Yes,8-10 years,5-7 years,College degree,Woman,White,,,,,,
4-9-2024 12:28:55,35-44,Education (Higher Education),Administration,Director of Assessment,Manage and support efforts for continuous institutional improvement/effectiveness,90000,,USD,,,United States,Massachusetts,North-central Massachusetts,Hybrid,No,11-20 years,2-4 years,Doctorate,Non-binary,White,,,,,,
4-9-2024 12:28:55,35-44,"Marketing, Advertising & PR","Marketing, Advertising & PR","Vice President, Corporate Reputation ",,95470,0,USD,,,United States,Michigan,Detroit ,Hybrid,No,11-20 years,8-10 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:29:03,45-54,Property or Construction,Property or Construction,Commercial Property Manager,,75000,5000,USD,,,United States,Virginia,Northern VA,Fully remote,No,21-30 years,21-30 years,Some college,Woman,"Asian or Asian American, White",,,,,,
4-9-2024 12:29:05,45-54,Education (Higher Education),Education (Higher Education),Librarian,,102000,2000,USD,,Not included are employer paid health care and employer contributed retirement and pension contributions,United States,Delaware,Delaware,On-site,No,21-30 years,21-30 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:29:06,25-34,Retail,Sales,Supervisor,,22900,,GBP,,,United Kingdom,,East Anglia,On-site,No,11-20 years,8-10 years,Some college,Woman,White,,,,,,
4-9-2024 12:29:08,35-44,Automotive,Automotive,Service Advisor,,100000,,USD,,,United States,Virginia,Virginia Beach,On-site,No,11-20 years,2-4 years,College degree,Woman,White,,,,,,
4-9-2024 12:29:10,25-34,Insurance,Media & Digital,Content Designer,"UX writer, i.e. copywriter focused on improving usability of digital experiences",75179,2500,CAD,,,Canada,,Toronto,Fully remote,No,5-7 years,2-4 years,College degree,Woman,White,,,,,,
4-9-2024 12:29:12,35-44,Transport or Logistics,Recruitment or HR,People Partner,HR Business Partner ,92000,14000,USD,,,United States,Tennessee,Nashville,Fully remote,No,11-20 years,8-10 years,College degree,Woman,White,,,,,,
4-9-2024 12:29:12,25-34,Education (Higher Education),Education (Higher Education),Assistant Professor,,48500,,USD,,,United States,Ohio,Northeast Ohio,Hybrid,Yes,8-10 years,5-7 years,Doctorate,Woman,White,,,,,,
4-9-2024 12:29:18,45-54,Manufacturing,Supply Chain Management,Procurement Manager,,74000,8000,USD,,,United States,New York,Utica,Hybrid,No,21-30 years,11-20 years,College degree,Woman,White,,,,,,
4-9-2024 12:29:19,55-64,Computing or Tech,Law,Associate General Counsel,"I'm an in-house lawyer for a publicly traded company, reporting to the General Counsel",350000,100000,USD,,,United States,Massachusetts,Boston,Fully remote,No,31-40 years,21-30 years,"Professional degree (MD, JD, etc.)",Woman,White,,,,,,
4-9-2024 12:29:29,45-54,Engineering,Science,Chemist,,96410,1500,USD,,,United States,Massachusetts,Southern MA,Hybrid,No,21-30 years,21-30 years,College degree,Woman,White,,,,,,
4-9-2024 12:29:31,35-44,Education (Higher Education),Retail,Program Support Supervisor 2,,69384,1000,USD,,,United States,Washington,Seattle,On-site,Yes,11-20 years,8-10 years,College degree,Woman,White,,,,,,
4-9-2024 12:29:33,35-44,Property or Construction,Business or Consulting,Business Analyst,,94000,0,CAD,,,Canada,,Manitoba,Hybrid,No,11-20 years,5-7 years,Role-specific certification,Woman,White,,,,,,
4-9-2024 12:29:35,55-64,Aerospace & Defense,Computing or Tech,Software Engineer,,145000,0,USD,,,United States,Maryland,Columbia,On-site,No,31-40 years,2-4 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:29:36,45-54,Transport or Logistics,Quality,Sr. Director of Quality,,155000,5000,USD,,,United States,Texas,Houston,Hybrid,No,21-30 years,21-30 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:29:37,35-44,Media & Digital,Nonprofits,VP,,140000,,USD,,,United States,New York,New York City,Other/it's complicated,Yes,8-10 years,8-10 years,College degree,Woman,White,,,,,,
4-9-2024 12:29:41,25-34,Government & Public Administration,Government & Public Administration,Research Analyst Advanced,,78000,0,USD,,,United States,Wisconsin,Madison,Fully remote,No,5-7 years,5-7 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:29:41,35-44,Business or Consulting,"Marketing, Advertising & PR",Event Manager,,130000,14000,USD,,,United States,New York,"Westchester County, New York",Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:29:42,45-54,Engineering,Computing or Tech,Software Engineer II,,98500,0,USD,,,United States,Michigan,Southeast Michigan/Metro Detroit,Hybrid,No,21-30 years,8-10 years,College degree,Woman,White,,,,,,
4-9-2024 12:29:42,35-44,Education (Higher Education),Education (Higher Education),Assistant Professor,,80000,0,USD,,,United States,Massachusetts,Lowell,On-site,Yes,11-20 years,11-20 years,Doctorate,Woman,White,,,,,,
4-9-2024 12:29:44,45-54,Computing or Tech,Computing or Tech,Director of IT,,161000,12000,USD,,,United States,New York,Long Island ,Hybrid,No,31-40 years,21-30 years,Some college,Woman,White,,,,,,
4-9-2024 12:29:44,25-34,Utilities & Telecommunications,Government & Public Administration,Environmental Compliance Inspector,,53000,0,USD,,,United States,Ohio,Cleveland,On-site,No,11-20 years,11-20 years,College degree,Non-binary,White,,,,,,
4-9-2024 12:29:49,25-34,Health care,Administration,Transplant Support Specialist,"I am listed as generalized hospital administrative support, if that helps to put me in a category. ",45219,,USD,,,United States,Wisconsin,Dane County,Hybrid,No,5-7 years,2-4 years,Master's degree,Man,White,,,,,,
4-9-2024 12:30:01,35-44,Government & Public Administration,"Environment, Climate, Sustainability",Branch Chief (supervisor),,125000,0,USD,,,United States,District of Columbia,Washington,On-site,No,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:30:07,25-34,"Marketing, Advertising & PR",Nonprofits,Vice President,,150000,37000,USD,,,United States,New York,New York City,Hybrid,No,5-7 years,5-7 years,College degree,Woman,White,,,,,,
4-9-2024 12:30:11,65 or over,Health care,Administration,Program Manager,Manages Graduate Medical Education programs,80000,,USD,,,United States,Maine,Portland,Hybrid,No,41 years or more,31-40 years,College degree,Woman,White,,,,,,
4-9-2024 12:30:12,35-44,Nonprofits,Nonprofits,Community Engagement Manager,,60000,0,USD,,,United States,Minnesota,Saint Paul,Fully remote,No,11-20 years,8-10 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:30:15,55-64,Publishing,Media & Digital,Editorial Director,Digital content (I run an 8-person editorial and art team producing a website),130000,10000,USD,,,United States,Iowa,Des Moines,Hybrid,No,31-40 years,31-40 years,College degree,Woman,White,,,,,,
4-9-2024 12:30:17,55-64,Education (Higher Education),Administration,Director,More like Executive Director,105000,,USD,,,United States,Louisiana,Baton Rouge,Hybrid,No,21-30 years,21-30 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:30:19,25-34,Business or Consulting,Business or Consulting,Senior Consultant - Strategy,,113304,9064,USD,,,United States,Pennsylvania,Philadelphia,Hybrid,No,2-4 years,2-4 years,College degree,Man,White,,,,,,
4-9-2024 12:30:23,35-44,Education (Higher Education),"Accounting, Banking & Finance",Financial Aid Counselor,,53000,0,USD,,,United States,Washington,Seattle,On-site,No,11-20 years,8-10 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:30:25,35-44,Government & Public Administration,Government & Public Administration,Manager,,75000,0,USD,,,United States,Kentucky,Frankfort,Hybrid,Yes,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:30:25,35-44,Law,"Marketing, Advertising & PR",Director of Marketing ,"Encompasses PR, business development, communications, events, digital, and advertising. ",137700,3500,USD,,,United States,Iowa,Des Moines,Hybrid,No,11-20 years,8-10 years,College degree,Woman,White,,,,,,
4-9-2024 12:30:27,55-64,Government & Public Administration,Maintenance ,Maintenance mechanic ,,58000,20000,USD,,,United States,Missouri,Kansas City,On-site,Yes,41 years or more,21-30 years,Associate's degree,Man,White,,,,,,
4-9-2024 12:30:27,25-34,Education (Primary/Secondary),Education (Primary/Secondary),Paraeducator,,34673,,USD,,I only work during the school year,United States,Michigan,Dexter,On-site,No,5-7 years,1 year or less,College degree,Woman,White,,,,,,
4-9-2024 12:30:29,55-64,Utilities & Telecommunications,Utilities & Telecommunications,Lead - Data Analyst Technical Mgmt,My team is a Data Science team within the National PMO.,124000,13640,USD,,"Bonus is 11% company wide, but also a possibility of a 4% merit bonus. ",United States,Georgia,Alpharetta,Hybrid,No,21-30 years,11-20 years,Some college,Woman,White,,,,,,
4-9-2024 12:30:35,25-34,Education (Primary/Secondary),Education (Primary/Secondary),high school math teacher,,69000,4000,USD,,,United States,Florida,fort lauderdale,On-site,No,8-10 years,8-10 years,Master's degree,Man,White,,,,,,
4-9-2024 12:30:36,35-44,Manufacturing,Administration,Commercial permit expediter,,62500,430,USD,,,United States,Pennsylvania,Philadelphia ,On-site,No,11-20 years,8-10 years,College degree,Woman,White,,,,,,
4-9-2024 12:30:45,25-34,"Marketing, Advertising & PR",Computing or Tech,Data Engineer,,102000,0,USD,,,United States,Pennsylvania,"Pittsburgh, PA",Fully remote,No,8-10 years,8-10 years,Associate's degree,Man,White,,,,,,
4-9-2024 12:30:45,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Archivist,"Mainly help people do research with museum archives/art/artifacts.  In reality, handle donation offers + install exhibits + monitor temp/humidity + etc etc etc.",58344,0,USD,,"My health insurance is ""free"" (paid by the company), which helps, but as usual isn't enough.",United States,California,Los Angeles,On-site,No,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:30:47,35-44,Publishing,Computing or Tech,Executive Director of Product,,160000,32000,USD,,,United States,Colorado,Denver ,Fully remote,No,11-20 years,2-4 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:30:53,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Reference/YA Librarian,My job is supposed to be a 50/50 split adult and teen services,68000,0,USD,,,United States,New York,"Eastchester, NY",On-site,Yes,8-10 years,8-10 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:30:56,65 or over,Business or Consulting,Administration,Director of Administration,,90000,0,USD,,,United States,New Jersey,Livingston,Hybrid,No,41 years or more,41 years or more,Some college,Woman,White,,,,,,
4-9-2024 12:31:09,35-44,Property or Construction,Administration,Administrative Assistant ,,49000,,USD,,,United States,New York,Long Island ,On-site,No,11-20 years,5-7 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:31:10,55-64,Sales,"Accounting, Banking & Finance",BOOKKEEPER,,52000,3000,USD,,,United States,New York,LONG ISLAND,On-site,No,31-40 years,11-20 years,Some college,Woman,White,,,,,,
4-9-2024 12:31:12,35-44,Education (Higher Education),"Marketing, Advertising & PR",Associate Director of Project Management,,99275,,USD,,,United States,Massachusetts,Boston,Hybrid,No,8-10 years,5-7 years,College degree,Woman,White,,,,,,
4-9-2024 12:31:12,25-34,Nonprofits,Administration,Director of Business & Community Operations,,117500,,USD,,,United States,Wisconsin,Milwaukee,Hybrid,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
4-9-2024 12:31:13,25-34,Education (Primary/Secondary),Nonprofits,Annual Fund Director,,85000,,USD,,,United States,New York,New York City,On-site,,8-10 years,5-7 years,College degree,Woman,White,,,,,,
4-9-2024 12:31:20,25-34,Publishing,publishing/proofreading,Freelance proofreader,Editing from basic proofreading to developmental notes,35000,,USD,,Freelance and not consistent,United States,Massachusetts,"Lowell, MA",Other/it's complicated,No,8-10 years,5-7 years,College degree,Woman,White,,,,,,
4-9-2024 12:31:24,35-44,Retail,"Accounting, Banking & Finance",Accounting Supervisor,,95000,9500,USD,,,United States,Michigan,Grand Rapids Metro,Hybrid,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
4-9-2024 12:31:27,45-54,Education (Higher Education),Education (Higher Education),Professor,I am at a community college,95000,0,USD,,I am on a 10-month contract. I have the option of teaching extra courses during the school year or in the summers; in theory I could earn up to $30K more by doing so.,United States,Maryland,Anne Arundel County,Hybrid,No,21-30 years,21-30 years,Doctorate,Woman,White,,,,,,
4-9-2024 12:31:30,45-54,Education (Higher Education),Education (Higher Education),Faculty Department Chair,,63000,18000,USD,,,United States,Maine,Waterville ,On-site,Yes,21-30 years,21-30 years,Master's degree,Man,White,,,,,,
4-9-2024 12:31:35,25-34,Government & Public Administration,"Accounting, Banking & Finance",Budget Analyst,,165806,0,USD,,,United States,Illinois,Chicago,Fully remote,No,11-20 years,8-10 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:31:37,25-34,Aerospace & Defense,Computing or Tech,Platform Engineer,Software Engineering support for other developers,165000,1000,USD,,,United States,Virginia,Northern Virginia ,Hybrid,No,11-20 years,2-4 years,Master's degree,Man,White,,,,,,
4-9-2024 12:31:37,35-44,Computing or Tech,Computing or Tech,Senior Software Engineer,,187500,65000,USD,,,United States,Massachusetts,Boston MA,Fully remote,No,11-20 years,8-10 years,College degree,Man,White,,,,,,
4-9-2024 12:31:41,25-34,Education (Higher Education),Education (Higher Education),Postdoctoral researcher,,65000,3000,USD,,,United States,Illinois,Chicago,On-site,No,2-4 years,2-4 years,Doctorate,Non-binary,White,,,,,,
4-9-2024 12:31:44,35-44,Retail,Sales,Bookseller,,35360,0,USD,,,United States,Massachusetts,North of Boston,On-site,No,11-20 years,2-4 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:31:47,55-64,Health care,Communications,"Sr. Manager, Internal Communications",,163000,23000,USD,,Annual bonus ,United States,California,San Francisco/Bay Area,Hybrid,No,21-30 years,11-20 years,College degree,Woman,White,,,,,,
4-9-2024 12:31:47,45-54,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Collections Librarian,,92000,,CAD,,,Canada,,Alberta,On-site,Yes,21-30 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:31:48,45-54,Government & Public Administration,Compliance,Contract Specialist,,137624,2000,USD,,,United States,Maryland,National Capital Region,Fully remote,No,21-30 years,21-30 years,Master's degree,Woman,"Asian or Asian American, White",,,,,,
4-9-2024 12:31:50,35-44,Manufacturing,Law,Trade Compliance Counsel,,265000,60000,USD,,,United States,North Carolina,Research Triangle,Fully remote,No,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White,,,,,,
4-9-2024 12:31:55,35-44,Health care,Administration,Administrative Assistant,,59844,,CAD,,,Canada,,"Vancouver, BC, Canada",On-site,No,11-20 years,5-7 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:31:55,35-44,"Galleries, Libraries, Archives & Museums","Marketing, Advertising & PR",Designer ,,90000,7500,USD,,,United States,Pennsylvania,Bucks county,Hybrid,No,11-20 years,11-20 years,College degree,Man,White,,,,,,
4-9-2024 12:31:55,25-34,Business or Consulting,Government Affairs & Lobbying,Environmental Planner 3,"Urban planning& permitting, around environmental issues for clients who want to build things",79000,8000,USD,,"6k bonus last year, overtime as PTO up to 120 hours and then as cash after that. Approximately 2k earned in overtime cash last year, for a total of 8k added to my base salary ",United States,New York,Tristate area ,Hybrid,No,5-7 years,5-7 years,Master's degree,Woman,White,,,,,,
4-9-2024 12:31:58,35-44,Manufacturing,Law,Trade Compliance Counsel,,265000,60000,USD,,,United States,North Carolina,Research Triangle,Fully remote,No,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White,,,,,,
4-9-2024 12:32:08,45-54,Law,Law,Freelance court reporter ,,68000,0,USD,,,United States,Pennsylvania,Philadelphia,Hybrid,No,21-30 years,5-7 years,College degree,Woman,White,,,,,,
4-9-2024 12:32:09,55-64,Retail,"Accounting, Banking & Finance",Senior Contract Administrator ,,80500,3000,USD,,,United States,Massachusetts,Middlesex County ,Hybrid,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
